Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
whileLoops_1.pgcl, true, 0.057, 0.135, 3.324, 0.975, 0.308
whileLoops_10.pgcl, true, 0.056, 0.096, 2.574, 0.966, 0.151
whileLoops_1.pgcl, true, 0.125, 0.057, 2.278, 0.951, 0.178
whileLoops_10.pgcl, true, 0.164, 0.074, 2.353, 0.977, 0.129
whileLoops_11.pgcl, , 0.0, 0.0, 111.922, 98.804, 2.135
whileLoops_12.pgcl, true, 0.102, 0.076, 2.573, 0.948, 0.128
whileLoops_13.pgcl, , 0.0, 0.0, 118.87100000000001, 107.00800000000001, 2.154
whileLoops_14.pgcl, true, 0.133, 0.107, 2.477, 1.048, 0.155
whileLoops_15.pgcl, , 0.0, 0.0, 99.916, 112.307, 1.659
whileLoops_16.pgcl, , 0.0, 0.0, 117.929, 138.645, 2.073
whileLoops_17.pgcl, , 0.0, 0.0, 107.958, 119.943, 2.074
whileLoops_18.pgcl, true, 0.067, 0.072, 2.037, 1.02, 0.136
whileLoops_19.pgcl, true, 0.033, 0.04, 1.96, 0.941, 0.113
whileLoops_2.pgcl, , 0.0, 0.0, 71.221, 94.926, 1.097
whileLoops_20.pgcl, , 0.0, 0.0, 93.544, 125.609, 1.214
whileLoops_21.pgcl, true, 0.067, 0.065, 2.159, 1.003, 0.129
whileLoops_22.pgcl, , 0.0, 0.0, 144.282, 154.054, 2.114
whileLoops_23.pgcl, , 0.0, 0.0, 128.737, 135.877, 1.878
whileLoops_24.pgcl, true, 0.04, 0.039, 2.624, 1.004, 0.14
whileLoops_25.pgcl, true, 0.043, 0.037, 1.861, 0.972, 0.108
whileLoops_26.pgcl, true, 0.067, 0.074, 1.977, 1.026, 0.123
whileLoops_27.pgcl, true, 0.038, 0.093, 2.279, 0.974, 0.119
whileLoops_28.pgcl, true, 0.162, 0.084, 2.159, 0.996, 0.119
whileLoops_29.pgcl, , 0.0, 0.0, 132.14, 155.721, 1.696
whileLoops_3.pgcl, true, 0.088, 0.107, 1.991, 0.95, 0.131
whileLoops_30.pgcl, true, 0.043, 0.036, 1.864, 0.989, 0.112
whileLoops_4.pgcl, true, 0.02, 0.025, 1.852, 0.897, 0.111
whileLoops_5.pgcl, true, 0.062, 0.041, 2.184, 0.952, 0.119
whileLoops_6.pgcl, true, 0.047, 0.08, 2.132, 0.941, 0.119
whileLoops_7.pgcl, true, 0.061, 0.094, 2.158, 0.951, 0.117
whileLoops_8.pgcl, true, 0.094, 0.038, 1.999, 0.934, 0.108
whileLoops_9.pgcl, true, 0.18, 0.11, 2.589, 0.952, 0.114
