Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
assignments_1.pgcl,false,0.024,0.035,1.771,1.159,0.15
assignments_2.pgcl,false,0.022,0.026,1.927,1.129,0.149
assignments_3.pgcl,false,0.027,0.023,1.765,1.101,0.136
assignments_4.pgcl,true,0.023,0.022,1.749,1.06,0.132
assignments_5.pgcl,true,0.02,0.023,1.793,1.103,0.134
assignments_6.pgcl,false,0.02,0.021,1.808,1.043,0.13
assignments_7.pgcl,true,0.038,0.03,1.761,1.177,0.152
assignments_8.pgcl,true,0.03,0.068,2.585,1.324,0.194
assignments_9.pgcl,true,0.055,0.052,1.938,1.352,0.217
assignments_10.pgcl,true,0.034,0.055,1.795,1.209,0.143
assignments_11.pgcl,true,0.025,0.028,1.863,1.164,0.138
assignments_12.pgcl,false,0.022,0.036,2.17,1.204,0.155
assignments_13.pgcl,true,0.028,0.027,1.826,1.13,0.132
assignments_14.pgcl,false,0.034,0.024,1.952,1.155,0.145
assignments_15.pgcl,false,0.134,0.063,1.995,1.273,0.173
assignments_16.pgcl,true,0.025,0.022,1.868,1.133,0.145
assignments_17.pgcl,true,0.021,0.031,1.793,1.117,0.137
assignments_18.pgcl,true,0.025,0.028,1.823,1.12,0.136
assignments_19.pgcl,false,0.022,0.033,1.857,1.169,0.133
assignments_20.pgcl,false,0.022,0.025,1.77,1.106,0.136
assignments_21.pgcl,false,0.021,0.029,1.839,1.115,0.143
assignments_22.pgcl,true,0.035,0.038,1.741,1.155,0.134
assignments_23.pgcl,false,0.025,0.026,1.843,1.14,0.14
assignments_24.pgcl,true,0.028,0.024,1.759,1.099,0.134
assignments_25.pgcl,false,0.036,0.037,1.769,1.166,0.137
assignments_26.pgcl,false,0.032,0.042,1.752,1.18,0.138
assignments_27.pgcl,false,0.029,0.028,1.806,1.148,0.13
assignments_28.pgcl,true,0.029,0.034,1.851,1.128,0.137
assignments_29.pgcl,false,0.031,0.028,1.791,1.12,0.132
assignments_30.pgcl,true,0.028,0.029,1.771,1.141,0.13
assignments_31.pgcl,false,0.03,0.033,1.833,1.151,0.141
assignments_32.pgcl,false,0.03,0.028,1.819,1.171,0.135
assignments_33.pgcl,true,0.03,0.036,1.846,1.173,0.134
assignments_34.pgcl,true,0.028,0.033,1.752,1.145,0.132
assignments_35.pgcl,true,0.04,0.04,1.726,1.182,0.138
assignments_36.pgcl,true,0.03,0.03,1.767,1.168,0.135
assignments_37.pgcl,true,0.03,0.03,1.871,1.159,0.14
assignments_38.pgcl,false,0.04,0.031,1.84,1.243,0.141
assignments_39.pgcl,false,0.034,0.033,1.822,1.164,0.133
assignments_40.pgcl,false,0.034,0.047,1.731,1.191,0.127
assignments_41.pgcl,true,0.031,0.027,1.757,1.144,0.136
assignments_42.pgcl,true,0.032,0.029,1.813,1.117,0.143
assignments_43.pgcl,true,0.03,0.028,1.821,1.199,0.141
assignments_44.pgcl,false,0.029,0.026,1.804,1.171,0.136
assignments_45.pgcl,false,0.041,0.04,1.76,1.233,0.14
assignments_46.pgcl,true,0.043,0.043,1.756,1.193,0.138
assignments_47.pgcl,false,0.03,0.041,1.772,1.147,0.131
assignments_48.pgcl,true,0.031,0.031,1.852,1.148,0.134
assignments_49.pgcl,false,0.037,0.035,1.901,1.188,0.138
assignments_50.pgcl,true,0.032,0.034,1.828,1.206,0.133
assignments_51.pgcl,true,0.034,0.031,1.742,1.164,0.131
assignments_52.pgcl,false,0.045,0.035,1.728,1.199,0.14
assignments_53.pgcl,true,0.034,0.036,1.782,1.143,0.137
assignments_54.pgcl,true,0.036,0.035,1.838,1.188,0.144
assignments_55.pgcl,true,0.035,0.03,1.868,1.21,0.141
