Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
nestedWhileLoops_1.pgcl,true,0.119,0.043,2.0,0.939,0.154
nestedWhileLoops_10.pgcl,true,0.03,0.052,1.998,0.948,0.121
nestedWhileLoops_100.pgcl,true,0.128,0.328,2.361,1.433,0.151
nestedWhileLoops_11.pgcl,true,0.218,0.035,2.42,0.931,0.12
nestedWhileLoops_12.pgcl,true,0.048,0.075,2.616,1.018,0.14
nestedWhileLoops_13.pgcl,true,0.043,0.04,2.293,0.948,0.125
nestedWhileLoops_14.pgcl,true,0.049,0.038,2.004,1.002,0.13
nestedWhileLoops_15.pgcl,true,0.054,0.045,2.148,0.998,0.128
nestedWhileLoops_16.pgcl,true,0.207,0.062,2.107,1.063,0.142
nestedWhileLoops_17.pgcl,true,0.089,0.294,2.154,1.005,0.133
nestedWhileLoops_18.pgcl,true,0.056,0.225,2.651,1.081,0.152
nestedWhileLoops_19.pgcl,true,0.041,0.063,2.372,0.976,0.132
nestedWhileLoops_2.pgcl,true,0.078,0.034,1.988,0.921,0.13
nestedWhileLoops_20.pgcl,true,0.089,0.075,1.91,1.024,0.125
nestedWhileLoops_21.pgcl,true,0.172,0.042,1.828,0.993,0.118
nestedWhileLoops_22.pgcl,true,0.125,0.064,1.898,1.023,0.12
nestedWhileLoops_23.pgcl,true,0.079,0.049,1.957,0.979,0.12
nestedWhileLoops_24.pgcl,true,0.07,0.137,1.923,1.093,0.131
nestedWhileLoops_25.pgcl,true,0.098,0.053,1.878,1.021,0.118
nestedWhileLoops_26.pgcl,true,0.045,0.062,1.949,1.019,0.118
nestedWhileLoops_27.pgcl,true,0.07,0.057,2.008,1.034,0.12
nestedWhileLoops_28.pgcl,true,0.049,0.065,1.926,1.044,0.121
nestedWhileLoops_29.pgcl,true,0.092,0.104,3.085,1.142,0.148
nestedWhileLoops_3.pgcl,true,0.024,0.036,2.68,0.929,0.136
nestedWhileLoops_30.pgcl,true,0.054,0.183,2.672,1.12,0.143
nestedWhileLoops_31.pgcl,true,0.104,0.075,2.265,1.072,0.133
nestedWhileLoops_32.pgcl,true,0.084,0.105,2.066,1.08,0.13
nestedWhileLoops_33.pgcl,true,0.225,0.063,1.891,1.101,0.127
nestedWhileLoops_34.pgcl,true,0.132,0.102,1.895,1.093,0.122
nestedWhileLoops_35.pgcl,true,0.11,0.138,2.271,1.152,0.145
nestedWhileLoops_36.pgcl,true,0.065,0.105,2.01,1.149,0.139
nestedWhileLoops_37.pgcl,true,0.201,0.169,1.976,1.149,0.137
nestedWhileLoops_38.pgcl,true,0.082,0.104,2.2,1.118,0.128
nestedWhileLoops_39.pgcl,true,0.064,0.078,2.01,1.114,0.133
nestedWhileLoops_4.pgcl,true,0.07,0.036,1.979,0.934,0.117
nestedWhileLoops_40.pgcl,true,0.094,0.071,2.354,1.09,0.134
nestedWhileLoops_41.pgcl,true,0.109,0.1,2.081,1.165,0.15
nestedWhileLoops_42.pgcl,true,0.11,0.093,1.929,1.139,0.137
nestedWhileLoops_43.pgcl,true,0.054,0.184,1.876,1.14,0.128
nestedWhileLoops_44.pgcl,true,0.13,0.109,1.906,1.132,0.119
nestedWhileLoops_45.pgcl,true,0.155,0.137,1.944,1.19,0.132
nestedWhileLoops_46.pgcl,true,0.128,0.086,1.954,1.129,0.125
nestedWhileLoops_47.pgcl,true,0.145,0.185,1.92,1.198,0.134
nestedWhileLoops_48.pgcl,true,0.103,0.136,1.945,1.168,0.128
nestedWhileLoops_49.pgcl,true,0.072,0.071,1.939,1.147,0.124
nestedWhileLoops_5.pgcl,true,0.029,0.04,1.88,0.894,0.113
nestedWhileLoops_50.pgcl,true,0.082,0.092,2.053,1.19,0.126
nestedWhileLoops_51.pgcl,true,0.067,0.1,1.907,1.173,0.129
nestedWhileLoops_52.pgcl,true,0.399,0.113,1.949,1.205,0.134
nestedWhileLoops_53.pgcl,true,0.119,0.09,2.066,1.152,0.142
nestedWhileLoops_54.pgcl,true,0.101,0.1,2.392,1.221,0.143
nestedWhileLoops_55.pgcl,true,0.205,0.267,2.166,1.283,0.152
nestedWhileLoops_56.pgcl,true,0.091,0.163,2.634,1.303,0.156
nestedWhileLoops_57.pgcl,true,0.154,0.15,2.261,1.258,0.147
nestedWhileLoops_58.pgcl,true,0.108,0.188,2.115,1.212,0.14
nestedWhileLoops_59.pgcl,true,0.102,0.219,1.963,1.264,0.138
nestedWhileLoops_6.pgcl,true,0.168,0.109,2.527,0.965,0.128
nestedWhileLoops_60.pgcl,true,0.157,0.32,2.596,1.25,0.133
nestedWhileLoops_61.pgcl,true,0.136,0.174,2.485,1.256,0.133
nestedWhileLoops_62.pgcl,true,0.14,0.302,2.499,1.3,0.148
nestedWhileLoops_63.pgcl,true,0.233,0.483,3.567,1.286,0.153
nestedWhileLoops_64.pgcl,true,0.095,0.259,2.243,1.267,0.143
nestedWhileLoops_65.pgcl,true,0.123,0.164,2.084,1.275,0.128
nestedWhileLoops_66.pgcl,true,0.199,0.114,1.937,1.202,0.13
nestedWhileLoops_67.pgcl,true,0.112,0.245,2.078,1.28,0.14
nestedWhileLoops_68.pgcl,true,0.142,0.347,1.964,1.286,0.141
nestedWhileLoops_69.pgcl,true,0.166,0.109,1.898,1.266,0.133
nestedWhileLoops_7.pgcl,true,0.053,0.047,1.943,0.922,0.114
nestedWhileLoops_70.pgcl,true,0.19,0.143,1.879,1.264,0.127
nestedWhileLoops_71.pgcl,true,0.234,0.153,1.964,1.316,0.127
nestedWhileLoops_72.pgcl,true,0.162,0.27,1.924,1.291,0.129
nestedWhileLoops_73.pgcl,true,0.145,0.14,1.949,1.272,0.127
nestedWhileLoops_74.pgcl,true,0.178,0.157,1.981,1.327,0.133
nestedWhileLoops_75.pgcl,true,0.102,0.136,1.924,1.252,0.133
nestedWhileLoops_76.pgcl,true,0.089,0.122,1.925,1.292,0.135
nestedWhileLoops_77.pgcl,true,0.157,0.107,2.036,1.309,0.133
nestedWhileLoops_78.pgcl,true,0.138,0.163,1.948,1.338,0.135
nestedWhileLoops_79.pgcl,true,0.136,0.174,1.954,1.313,0.129
nestedWhileLoops_8.pgcl,true,0.054,0.026,1.941,0.902,0.111
nestedWhileLoops_80.pgcl,true,0.201,0.11,1.985,1.356,0.132
nestedWhileLoops_81.pgcl,true,0.163,0.124,2.029,1.308,0.131
nestedWhileLoops_82.pgcl,true,0.103,0.11,1.98,1.341,0.129
nestedWhileLoops_83.pgcl,true,0.187,0.191,1.957,1.372,0.135
nestedWhileLoops_84.pgcl,true,0.13,0.114,1.945,1.353,0.14
nestedWhileLoops_85.pgcl,true,0.142,0.189,1.988,1.35,0.131
nestedWhileLoops_86.pgcl,true,0.101,0.15,1.908,1.316,0.13
nestedWhileLoops_87.pgcl,true,0.207,0.169,2.02,1.39,0.152
nestedWhileLoops_88.pgcl,true,0.144,0.204,2.101,1.407,0.145
nestedWhileLoops_89.pgcl,true,0.231,0.581,2.885,1.396,0.16
nestedWhileLoops_9.pgcl,true,0.042,0.033,2.397,0.97,0.145
nestedWhileLoops_90.pgcl,true,0.446,0.201,2.88,1.388,0.147
nestedWhileLoops_91.pgcl,true,0.472,0.187,2.604,1.435,0.149
nestedWhileLoops_92.pgcl,true,0.193,0.286,2.644,1.447,0.15
nestedWhileLoops_93.pgcl,true,0.146,0.124,2.093,1.365,0.141
nestedWhileLoops_94.pgcl,true,0.236,0.186,2.011,1.387,0.127
nestedWhileLoops_95.pgcl,true,0.109,0.121,1.952,1.359,0.126
nestedWhileLoops_96.pgcl,true,0.101,0.101,1.939,1.327,0.121
nestedWhileLoops_97.pgcl,true,0.09,0.093,2.01,1.323,0.122
nestedWhileLoops_98.pgcl,true,0.11,0.131,1.895,1.398,0.126
nestedWhileLoops_99.pgcl,true,0.185,0.138,1.967,1.371,0.127
