Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
sequentialWhileLoops_1.pgcl,true,0.06,0.216,1.864,0.895,0.142
sequentialWhileLoops_10.pgcl,true,0.088,0.121,2.177,1.058,0.133
sequentialWhileLoops_100.pgcl,true,0.649,0.7,3.657,1.915,0.171
sequentialWhileLoops_101.pgcl,true,2.246,0.306,4.217,1.937,0.167
sequentialWhileLoops_102.pgcl,true,0.453,0.252,2.144,1.93,0.144
sequentialWhileLoops_103.pgcl,true,0.467,0.268,2.005,1.875,0.137
sequentialWhileLoops_104.pgcl,true,0.473,0.245,2.011,1.863,0.141
sequentialWhileLoops_105.pgcl,true,0.505,0.22,2.174,1.898,0.149
sequentialWhileLoops_106.pgcl,true,0.719,0.26,2.687,2.013,0.177
sequentialWhileLoops_107.pgcl,true,0.491,0.272,2.332,1.943,0.162
sequentialWhileLoops_108.pgcl,true,0.558,0.334,3.185,1.898,0.181
sequentialWhileLoops_109.pgcl,true,0.458,0.247,2.175,1.946,0.145
sequentialWhileLoops_11.pgcl,true,0.08,0.064,1.819,1.013,0.112
sequentialWhileLoops_110.pgcl,true,0.492,0.236,2.136,1.919,0.142
sequentialWhileLoops_111.pgcl,true,0.564,0.347,2.591,2.046,0.167
sequentialWhileLoops_112.pgcl,true,0.634,0.262,2.36,2.008,0.173
sequentialWhileLoops_113.pgcl,true,0.787,0.518,3.608,2.093,0.197
sequentialWhileLoops_114.pgcl,true,0.791,0.383,2.923,2.061,0.192
sequentialWhileLoops_115.pgcl,true,0.505,0.307,2.55,2.017,0.162
sequentialWhileLoops_116.pgcl,true,0.544,0.292,2.112,1.948,0.146
sequentialWhileLoops_117.pgcl,true,0.482,0.217,1.987,1.951,0.142
sequentialWhileLoops_118.pgcl,true,0.656,0.278,2.365,2.013,0.149
sequentialWhileLoops_119.pgcl,true,0.81,0.317,2.665,2.082,0.167
sequentialWhileLoops_12.pgcl,true,0.095,0.087,1.923,1.071,0.14
