Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
whileLoops_1.pgcl,true,0.167,0.191,3.08,1.095,0.254
whileLoops_10.pgcl,false,1.078,0.395,2.988,1.712,0.173
whileLoops_100.pgcl,false,19.402,1.337,22.299,19.701,0.418
whileLoops_101.pgcl,true,19.045,1.199,21.933,19.872,0.417
whileLoops_102.pgcl,false,18.35,0.921,20.869,18.938,0.403
whileLoops_103.pgcl,true,20.486,0.943,23.163,21.079,0.499
whileLoops_104.pgcl,false,21.73,1.078,24.258,21.578,0.419
whileLoops_105.pgcl,true,19.374,1.242,22.186,20.423,0.418
whileLoops_106.pgcl,false,21.261,1.043,24.021,22.322,0.421
whileLoops_107.pgcl,true,26.684,1.305,29.413,23.057,0.585
whileLoops_108.pgcl,false,20.508,1.023,23.134,21.041,0.435
whileLoops_109.pgcl,true,22.256,1.161,25.214,21.358,0.506
whileLoops_11.pgcl,true,0.746,0.55,3.087,1.716,0.176
whileLoops_110.pgcl,false,22.387,1.009,25.0,21.625,0.476
whileLoops_111.pgcl,true,23.482,1.243,26.394,24.431,0.443
whileLoops_112.pgcl,false,24.035,1.029,26.991,24.926,0.463
whileLoops_113.pgcl,true,21.66,1.444,24.839,22.592,0.447
whileLoops_114.pgcl,false,24.652,1.11,27.721,25.554,0.478
whileLoops_115.pgcl,true,22.741,1.636,26.258,23.48,0.466
whileLoops_116.pgcl,false,25.043,1.643,28.39,25.829,0.497
whileLoops_117.pgcl,true,23.638,1.405,26.447,23.875,0.456
whileLoops_118.pgcl,false,27.938,1.679,32.489,26.566,0.535
whileLoops_119.pgcl,true,30.682,1.214,33.89,30.606,0.996
whileLoops_12.pgcl,false,0.621,0.255,2.622,1.846,0.162
whileLoops_120.pgcl,false,23.097,1.039,25.732,24.909,0.363
whileLoops_121.pgcl,true,26.621,1.014,29.049,28.378,0.369
whileLoops_122.pgcl,false,27.814,0.83,30.296,29.489,0.4
whileLoops_123.pgcl,true,25.033,0.915,27.678,26.783,0.381
whileLoops_124.pgcl,false,27.864,1.059,30.326,29.499,0.386
whileLoops_125.pgcl,true,33.695,0.861,36.141,33.952,0.613
whileLoops_126.pgcl,false,25.827,0.872,28.317,27.661,0.374
whileLoops_127.pgcl,true,29.067,1.017,31.793,27.876,0.588
whileLoops_128.pgcl,false,32.329,1.25,35.711,30.282,0.662
whileLoops_129.pgcl,true,36.761,1.07,39.663,36.077,0.649
whileLoops_13.pgcl,true,0.89,0.332,4.184,1.809,0.169
whileLoops_130.pgcl,false,57.689,2.184,62.238,36.875,0.883
whileLoops_131.pgcl,true,45.274,5.212,54.317,33.529,0.901
whileLoops_132.pgcl,false,32.326,2.5,38.147,33.603,0.506
whileLoops_133.pgcl,true,29.762,1.196,32.3,31.436,0.514
whileLoops_134.pgcl,false,31.63,1.171,34.41,33.054,0.488
