Program,prismRes,modelCheckingTime,modelConstructionTime,terminalRealTime,terminalUserTime,terminalSysTime
whileLoops_1.pgcl,true,0.108,0.04,1.736,0.973,0.115
whileLoops_10.pgcl,false,0.554,0.262,2.677,1.659,0.164
whileLoops_100.pgcl,,0.0,0.857,16.713,15.292,0.348
whileLoops_101.pgcl,,0.0,1.114,15.34,13.922,0.318
whileLoops_102.pgcl,,0.0,1.567,16.608,15.359,0.293
whileLoops_103.pgcl,,0.0,0.775,18.06,16.888,0.326
whileLoops_104.pgcl,,0.0,0.9,18.763,17.116,0.328
whileLoops_105.pgcl,,0.0,0.886,15.274,14.859,0.259
whileLoops_106.pgcl,,0.0,0.893,18.533,17.453,0.253
whileLoops_107.pgcl,,0.0,1.437,20.853,17.303,0.427
whileLoops_108.pgcl,,0.0,1.145,15.766,15.779,0.28
whileLoops_109.pgcl,,0.0,1.364,20.508,18.413,0.475
whileLoops_11.pgcl,true,0.489,0.364,2.096,1.685,0.148
whileLoops_110.pgcl,,0.0,1.651,22.744,18.903,0.384
whileLoops_12.pgcl,false,0.61,0.374,2.463,1.797,0.157
whileLoops_13.pgcl,true,0.673,0.176,2.236,1.895,0.147
whileLoops_14.pgcl,false,0.806,0.229,2.374,1.855,0.138
whileLoops_15.pgcl,true,0.654,0.328,2.282,1.904,0.137
whileLoops_16.pgcl,false,1.008,0.184,2.478,1.995,0.153
whileLoops_17.pgcl,true,0.776,0.285,2.538,2.096,0.159
whileLoops_18.pgcl,false,1.093,0.284,2.71,2.197,0.142
whileLoops_19.pgcl,true,0.985,0.221,2.826,2.26,0.156
whileLoops_2.pgcl,false,0.152,0.159,1.835,1.102,0.122
whileLoops_20.pgcl,false,1.17,0.396,3.317,2.243,0.162
whileLoops_21.pgcl,true,1.093,0.223,2.95,2.466,0.179
whileLoops_22.pgcl,false,1.259,0.219,2.854,2.545,0.16
whileLoops_23.pgcl,true,1.187,0.304,2.881,2.512,0.161
whileLoops_24.pgcl,false,1.327,0.332,2.877,2.627,0.143
whileLoops_25.pgcl,true,1.321,0.486,3.14,2.646,0.161
whileLoops_26.pgcl,false,1.357,0.247,3.149,2.716,0.157
whileLoops_27.pgcl,true,1.605,0.409,3.551,2.821,0.176
whileLoops_28.pgcl,false,1.848,0.399,3.527,3.074,0.162
whileLoops_29.pgcl,true,1.83,0.292,3.481,3.235,0.161
whileLoops_3.pgcl,true,0.301,0.098,1.872,1.177,0.12
whileLoops_30.pgcl,false,1.904,0.483,3.824,3.293,0.172
whileLoops_31.pgcl,true,1.896,0.437,3.905,3.253,0.175
whileLoops_32.pgcl,false,2.657,0.399,4.513,4.048,0.209
whileLoops_33.pgcl,true,2.474,0.373,4.429,3.755,0.184
whileLoops_34.pgcl,false,2.435,0.37,4.214,3.747,0.175
