Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
assignments_1.pgcl,1,0.021991252899169922,6.389617919921875e-05,0.00021314620971679688,4.57763671875e-05,8.511543273925781e-05,Unsat,0.0364990234375,0.019752025604248047,3.0994415283203125e-06,0.0,0.021286964416503906,2.1457672119140625e-06,0.021676063537597656,0.10032820701599121,Unsat,0.009093046188354492,0.003982067108154297,1.9073486328125e-06,0.0,0.002778768539428711,9.5367431640625e-07,0.0028150081634521484,0.038291215896606445,False,False,True,True
assignments_2.pgcl,2,0.006224870681762695,4.100799560546875e-05,0.00018405914306640625,1.3828277587890625e-05,5.0067901611328125e-05,Unsat,0.013216972351074219,0.010246992111206055,2.1457672119140625e-06,0.0,0.011970996856689453,9.5367431640625e-07,0.012014150619506836,0.04199576377868652,Unsat,0.003245115280151367,0.0018291473388671875,2.86102294921875e-06,0.0,0.0020389556884765625,1.1920928955078125e-06,0.002074003219604492,0.013665914535522461,False,False,True,True
assignments_3.pgcl,3,0.00587916374206543,5.2928924560546875e-05,0.00025010108947753906,1.7881393432617188e-05,7.295608520507812e-05,Unsat,0.012323141098022461,0.01051187515258789,1.6689300537109375e-06,0.0,0.012624979019165039,2.1457672119140625e-06,0.012738704681396484,0.04184889793395996,Unsat,0.004044771194458008,0.0017611980438232422,2.1457672119140625e-06,0.0,0.0023992061614990234,9.5367431640625e-07,0.002432107925415039,0.014513254165649414,False,False,True,True
assignments_4.pgcl,4,0.0071179866790771484,6.079673767089844e-05,0.0010540485382080078,2.0265579223632812e-05,9.393692016601562e-05,Sat,0.021472930908203125,0.011934041976928711,3.0994415283203125e-06,0.0,0.014827728271484375,2.1457672119140625e-06,0.014869928359985352,0.056626081466674805,Sat,0.005663156509399414,0.002087831497192383,1.9073486328125e-06,0.0,0.002031087875366211,2.1457672119140625e-06,0.002065896987915039,0.018166065216064453,False,False,True,True
assignments_5.pgcl,5,0.008195161819458008,7.414817810058594e-05,0.0004978179931640625,2.3126602172851562e-05,0.00012111663818359375,Sat,0.019865751266479492,0.011525869369506836,1.6689300537109375e-06,0.0,0.013891935348510742,2.1457672119140625e-06,0.014039754867553711,0.05434560775756836,Sat,0.007170677185058594,0.0018811225891113281,1.9073486328125e-06,0.0,0.002090930938720703,2.1457672119140625e-06,0.0021271705627441406,0.020093202590942383,False,False,True,True
assignments_6.pgcl,6,0.011886119842529297,0.00013113021850585938,0.0009641647338867188,2.2172927856445312e-05,0.0001518726348876953,Unsat,0.018952131271362305,0.019163131713867188,4.0531158447265625e-06,0.0,0.016266822814941406,1.9073486328125e-06,0.0163118839263916,0.06758713722229004,Unsat,0.006996870040893555,0.0018990039825439453,1.9073486328125e-06,0.0,0.0023009777069091797,9.5367431640625e-07,0.0023369789123535156,0.02439284324645996,False,False,True,True
assignments_7.pgcl,7,0.008098125457763672,9.393692016601562e-05,0.0008761882781982422,2.3126602172851562e-05,0.00018286705017089844,Sat,0.016175270080566406,0.010515928268432617,2.1457672119140625e-06,0.0,0.01064610481262207,7.152557373046875e-07,0.010691165924072266,0.04665851593017578,Sat,0.008046865463256836,0.0016410350799560547,1.9073486328125e-06,0.0,0.0021209716796875,9.5367431640625e-07,0.0021550655364990234,0.021119117736816406,False,False,True,True
assignments_8.pgcl,8,0.008835077285766602,0.0001049041748046875,0.0010900497436523438,2.5987625122070312e-05,0.00022029876708984375,Sat,0.01688075065612793,0.010689973831176758,3.0994415283203125e-06,0.0,0.012233972549438477,1.9073486328125e-06,0.012378931045532227,0.05022883415222168,Sat,0.010250091552734375,0.0018610954284667969,1.9073486328125e-06,0.0,0.0027170181274414062,1.1920928955078125e-06,0.002753019332885742,0.02514338493347168,False,False,True,True
assignments_9.pgcl,9,0.008279085159301758,0.00011801719665527344,0.0019390583038330078,5.1975250244140625e-05,0.00047588348388671875,Sat,0.02535700798034668,0.010643243789672852,3.0994415283203125e-06,0.0,0.019625186920166016,7.152557373046875e-07,0.01968693733215332,0.06655621528625488,Sat,0.01390528678894043,0.0020608901977539062,2.1457672119140625e-06,0.0,0.003229856491088867,1.1920928955078125e-06,0.0032660961151123047,0.030101299285888672,False,False,True,True
assignments_10.pgcl,10,0.009673118591308594,0.00039696693420410156,0.0019466876983642578,3.1948089599609375e-05,0.00030303001403808594,Sat,0.023236989974975586,0.012418985366821289,3.0994415283203125e-06,0.0,0.014033079147338867,1.9073486328125e-06,0.014077186584472656,0.06208920478820801,Sat,0.017789840698242188,0.0021338462829589844,2.1457672119140625e-06,0.0,0.0029129981994628906,1.1920928955078125e-06,0.002948284149169922,0.03522801399230957,False,False,True,True
