Program;Size;parseTime;extractTime;nonNegTransTime;probTransTime;wpTransTime;z3res;z3runTimeNonNeg;z3runTimeProb;z3invariantTotalTime;z3invariantSolverTime;z3constraintSolverTime;z3multiplyGuardsTime;z3checkSatTotalTime;toolTimeZ3;cvc5res;cvc5runTimeNonNeg;cvc5runTimeProb;cvc5invariantTotalTime;cvc5invariantSolverTime;cvc5constraintSolverTime;cvc5multiplyGuardsTime;cvc5checkSatTotalTime;toolTimecvc5;runNonNegCheckNTimes;runProbCheckNTimes;doNonNeg;doProbCheck
sprdwalk.pgcl;1;0.030238867;0.000156164;0;0;0.00036025;Sat;0;0;0.019579887;0.019559383;0.011776209;1.91E-06;0.031502962;0.062262058;Sat;0;0;0.037397861;0.037368059;0.004398108;1.91E-06;0.041830063;0.072589159;False;False;False;False
rdspeed.pgcl;1;0.016232014;0.000146866;0;0;0.001001835;Sat;0;0;0.031537294;0.031504869;0.013335943;1.67E-06;0.044917107;0.062301159;Sat;0;0;0.138535023;0.138469696;0.006458044;4.05E-06;0.145136118;0.16252017;False;False;False;False
race.pgcl;1;0.030962944;0.000219107;0;0;0.0027771;Sat;0;0;0.039378166;0.039337873;0.01357317;1.91E-06;0.052994967;0.086955786;Sat;0;0;0.103420258;0.103363991;0.003638029;2.62E-06;0.107095003;0.141055822;False;False;False;False
prspeed.pgcl;1;0.017330885;0.000242949;0;0;0.000580311;Sat;0;0;0.037874937;0.037836075;0.021006823;1.91E-06;0.059233189;0.077387333;Sat;0;0;0.248025179;0.247945309;0.009550095;2.86E-06;0.257884979;0.276039124;False;False;False;False
prdwalk.pgcl;1;0.027640104;0.000127077;0;0;0.00087595;Sat;0;0;0.051225185;0.051174164;0.015498877;2.15E-06;0.066728115;0.095373154;Sat;0;0;0.130390882;0.130340099;0.005827188;3.10E-06;0.136221886;0.164866924;False;False;False;False
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;; -;;;;;;;;;;;;;;;;;;;;;;
