Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
nonDet_1.pgcl,4,0.010395050048828125,2.002716064453125e-05,3.0994415283203125e-05,8.106231689453125e-06,1.2874603271484375e-05,Unsat,0.02576613426208496,0.02115917205810547,1.0013580322265625e-05,0.0,0.04002022743225098,4.0531158447265625e-06,0.0408170223236084,0.09821128845214844,Unsat,0.01742386817932129,0.018665075302124023,5.9604644775390625e-06,0.0,0.017443180084228516,3.0994415283203125e-06,0.017499923706054688,0.06405782699584961,False,False,True,True
nonDet_2.pgcl,8,0.004054069519042969,2.3126602172851562e-05,4.076957702636719e-05,1.3113021850585938e-05,1.5020370483398438e-05,Sat,0.022709131240844727,0.020210981369018555,1.0013580322265625e-05,0.0,0.05037569999694824,6.198883056640625e-06,0.050438880920410156,0.09750604629516602,Sat,0.0048100948333740234,0.007141828536987305,1.0013580322265625e-05,0.0,0.024708986282348633,5.0067901611328125e-06,0.02475285530090332,0.04085183143615723,False,False,True,True
nonDet_3.pgcl,16,0.014935016632080078,3.933906555175781e-05,8.869171142578125e-05,0.00030112266540527344,2.7894973754882812e-05,Unsat,0.020854949951171875,0.013317108154296875,1.7881393432617188e-05,0.0,0.03327298164367676,1.1205673217773438e-05,0.03344583511352539,0.08301305770874023,Unsat,0.008929967880249023,0.00781393051147461,2.09808349609375e-05,0.0,0.021525859832763672,1.0967254638671875e-05,0.021593093872070312,0.05373215675354004,False,False,True,True
nonDet_4.pgcl,32,0.008187055587768555,6.318092346191406e-05,0.011189699172973633,8.225440979003906e-05,7.295608520507812e-05,Unsat,0.02101278305053711,0.015462160110473633,3.1948089599609375e-05,0.0,0.019186973571777344,2.09808349609375e-05,0.019273042678833008,0.07534599304199219,Unsat,0.010893821716308594,0.0076770782470703125,2.6941299438476562e-05,0.0,0.03052520751953125,1.811981201171875e-05,0.030601024627685547,0.06876993179321289,False,False,True,True
nonDet_5.pgcl,64,0.019227027893066406,0.00012183189392089844,0.00032520294189453125,8.893013000488281e-05,9.799003601074219e-05,Unsat,0.056587934494018555,0.03780698776245117,0.000141143798828125,0.0,0.03598380088806152,0.0001678466796875,0.036878108978271484,0.1511380672454834,Unsat,0.03054213523864746,0.030279159545898438,0.00011515617370605469,0.0,0.1593461036682129,0.00012087821960449219,0.15962886810302734,0.24031519889831543,False,False,True,True
nonDet_6.pgcl,128,0.05604195594787598,0.00039196014404296875,0.0010302066802978516,0.008494853973388672,0.0006890296936035156,Unsat,0.14186787605285645,0.13080883026123047,0.00016307830810546875,0.0,0.05164527893066406,0.00013184547424316406,0.052092790603637695,0.39142441749572754,Unsat,0.08295774459838867,0.013530969619750977,0.00010180473327636719,0.0,0.1290123462677002,7.176399230957031e-05,0.12978577613830566,0.29292941093444824,False,False,True,True
nonDet_7.pgcl,256,0.1404411792755127,0.0004489421844482422,0.0011131763458251953,0.0005223751068115234,0.00042319297790527344,Sat,0.11688232421875,0.0290830135345459,0.0019118785858154297,0.0,0.06865525245666504,0.0001609325408935547,0.07090377807617188,0.3598203659057617,Sat,0.0540919303894043,0.018027067184448242,0.00020194053649902344,0.0,0.17004084587097168,0.0002071857452392578,0.17081403732299805,0.38588428497314453,False,False,True,True
nonDet_8.pgcl,512,0.19861602783203125,0.001435995101928711,0.005774974822998047,0.0007610321044921875,0.0008909702301025391,Sat,0.22445988655090332,0.049859046936035156,0.00054931640625,0.0,0.10457611083984375,0.003634929656982422,0.1089012622833252,0.5907101631164551,Sat,0.09115386009216309,0.018472909927368164,0.0003650188446044922,0.0,0.26962995529174805,0.00034618377685546875,0.270615816116333,0.5877325534820557,False,False,True,True
nonDet_9.pgcl,1024,0.35402679443359375,0.002351045608520508,0.006808757781982422,0.003731966018676758,0.0021028518676757812,Sat,0.27308106422424316,0.07487177848815918,0.0008897781372070312,0.0,0.1444411277770996,0.0007338523864746094,0.14624881744384766,0.8632335662841797,Sat,0.3246631622314453,0.09109187126159668,0.0012018680572509766,0.0,0.5199339389801025,0.0006971359252929688,0.5219779014587402,1.306764841079712,False,False,True,True
nonDet_10.pgcl,2048,0.6133549213409424,0.0042459964752197266,0.012732982635498047,0.003729104995727539,0.004741191864013672,Sat,0.5745511054992676,0.11568212509155273,0.0016350746154785156,0.0,0.30420494079589844,0.0012600421905517578,0.30722928047180176,1.6362736225128174,Sat,0.4256460666656494,0.0636587142944336,0.0015938282012939453,0.0,0.5751488208770752,0.001329183578491211,0.578211784362793,1.7063276767730713,False,False,True,True
