Program,Size,parseTime,extractTime,nonNegTransTime,probTransTime,wpTransTime,z3res,z3runTimeNonNeg,z3runTimeProb,z3invariantTotalTime,z3invariantSolverTime,z3constraintSolverTime,z3multiplyGuardsTime,z3checkSatTotalTime,toolTimeZ3,cvc5res,cvc5runTimeNonNeg,cvc5runTimeProb,cvc5invariantTotalTime,cvc5invariantSolverTime,cvc5constraintSolverTime,cvc5multiplyGuardsTime,cvc5checkSatTotalTime,toolTimecvc5,runNonNegCheckNTimes,runProbCheckNTimes,doNonNeg,doProbCheck
whileLoops_1.pgcl,1,0.011322259902954102,9.489059448242188e-05,0.0003218650817871094,0.0001761913299560547,0.00032210350036621094,Sat,0.1175079345703125,0.013899087905883789,0.027177810668945312,0.027103900909423828,0.011982202529907227,2.1219253540039062e-05,0.03942680358886719,0.1830739974975586,Sat,0.05219721794128418,0.007896900177001953,0.040168046951293945,0.040142059326171875,0.006051778793334961,7.152557373046875e-06,0.046267032623291016,0.11860132217407227,False,False,True,True
whileLoops_2.pgcl,2,0.007833003997802734,9.584426879882812e-05,0.0006992816925048828,0.0002627372741699219,0.00040602684020996094,Sat,0.08494400978088379,0.019735097885131836,0.05947995185852051,0.059420108795166016,0.016628026962280273,9.059906005859375e-06,0.07628107070922852,0.19025707244873047,Sat,0.07978391647338867,0.5476601123809814,0.05937671661376953,0.05922722816467285,0.0026559829711914062,5.7220458984375e-06,0.062204837799072266,0.6989457607269287,False,False,True,True
whileLoops_3.pgcl,3,0.008646011352539062,0.00011515617370605469,0.0015099048614501953,0.0004360675811767578,0.0004010200500488281,Unsat,0.1014258861541748,0.03075695037841797,0.0937042236328125,0.09361386299133301,0.014013051986694336,6.9141387939453125e-06,0.10868406295776367,0.25197601318359375,Unsat,0.1751079559326172,0.015096902847290039,0.06586289405822754,0.06578516960144043,0.0028138160705566406,5.9604644775390625e-06,0.06883668899536133,0.27015066146850586,False,False,True,True
whileLoops_4.pgcl,4,0.011188030242919922,0.000141143798828125,0.004178047180175781,0.0011749267578125,0.0005190372467041016,Sat,0.12037086486816406,0.030623197555541992,0.0762791633605957,0.07617878913879395,0.016819000244140625,6.9141387939453125e-06,0.09324288368225098,0.2614409923553467,Sat,0.2273252010345459,0.034002065658569336,0.09477710723876953,0.09464216232299805,0.003328084945678711,5.9604644775390625e-06,0.09840893745422363,0.3769402503967285,False,False,True,True
whileLoops_5.pgcl,5,0.011947154998779297,0.00017786026000976562,0.008278131484985352,0.0036449432373046875,0.0007920265197753906,Unsat,0.26952600479125977,0.06849002838134766,0.0931403636932373,0.09300494194030762,0.012442827224731445,6.198883056640625e-06,0.10576629638671875,0.4686281681060791,Unsat,0.780001163482666,0.10216975212097168,0.11660504341125488,0.11647653579711914,0.002727031707763672,5.7220458984375e-06,0.1195061206817627,1.0265228748321533,False,False,True,True
whileLoops_6.pgcl,6,0.012830972671508789,0.0002028942108154297,0.012171030044555664,0.005799055099487305,0.0008971691131591797,Sat,0.4153327941894531,0.0967109203338623,0.1014101505279541,0.10125136375427246,0.011414051055908203,6.9141387939453125e-06,0.11301517486572266,0.6569640636444092,Sat,1.243612289428711,0.19891619682312012,0.11638712882995605,0.11623263359069824,0.002547025680541992,5.9604644775390625e-06,0.11911392211914062,1.5935475826263428,False,False,True,True
whileLoops_7.pgcl,7,0.014328241348266602,0.00024700164794921875,0.05896711349487305,0.02106499671936035,0.0010979175567626953,Sat,1.859699010848999,0.43115711212158203,0.12429594993591309,0.12410783767700195,0.010469913482666016,7.152557373046875e-06,0.13494086265563965,2.521507978439331,Sat,6.072105884552002,0.7529568672180176,0.13707900047302246,0.13687872886657715,0.0024390220642089844,6.198883056640625e-06,0.13969826698303223,7.060472011566162,False,False,True,True
whileLoops_8.pgcl,8,0.021692276000976562,0.00026607513427734375,0.085906982421875,0.03425312042236328,0.0011479854583740234,Sat,2.7448928356170654,0.6950368881225586,0.14040589332580566,0.14020538330078125,0.01032710075378418,6.198883056640625e-06,0.15090298652648926,3.734102964401245,Sat,9.39778470993042,1.1644611358642578,0.9245738983154297,0.9243636131286621,0.002753019332885742,6.9141387939453125e-06,0.9274909496307373,11.633007049560547,False,False,True,True
whileLoops_9.pgcl,9,0.025422096252441406,0.0003199577331542969,0.5930819511413574,0.17639803886413574,0.0015213489532470703,Sat,21.26652503013611,3.2869927883148193,0.15947794914245605,0.15922284126281738,0.010321855545043945,6.198883056640625e-06,0.16997122764587402,25.520236253738403,Sat,80.58770990371704,9.832304239273071,0.20649504661560059,0.20499253273010254,0.0027337074279785156,3.62396240234375e-05,0.21056318283081055,91.42732453346252,False,False,True,True
whileLoops_10.pgcl,10,0.02178668975830078,0.0003781318664550781,0.292011022567749,0.1219792366027832,0.0016279220581054688,Sat,13.336379289627075,2.463611125946045,0.18545222282409668,0.18515992164611816,0.0187070369720459,6.9141387939453125e-06,0.20544695854187012,16.443226099014282,Sat,33.32836890220642,5.95148491859436,0.20151305198669434,0.20126962661743164,0.0025339126586914062,6.198883056640625e-06,0.20422005653381348,39.92186260223389,False,False,True,True
whileLoops_11.pgcl,11,0.025439023971557617,0.0003781318664550781,5.541966915130615,0.801184892654419,0.0031919479370117188,Sat,291.46423292160034,21.971351861953735,0.20711874961853027,0.20680022239685059,0.011574983596801758,2.9087066650390625e-05,0.21896576881408691,320.0267174243927,Sat,262.7949709892273,47.20225429534912,0.22998595237731934,0.22951245307922363,0.0029189586639404297,7.152557373046875e-06,0.23436903953552246,316.6037611961365,False,False,True,True
whileLoops_12.pgcl,12,0.030643939971923828,0.00040793418884277344,5.562891960144043,2.297714948654175,0.003820657730102539,Sat,996.4303760528564,49.213702917099,0.24155282974243164,0.2385997772216797,0.011664867401123047,0.0007369518280029297,0.2555887699127197,1053.795155763626,Sat,806.7189037799835,174.3449580669403,0.29399704933166504,0.28788304328918457,0.006259918212890625,3.814697265625e-05,0.3067002296447754,989.2660501003265,False,False,True,True
